term,tf,idf,tf_idf
cpccs,211,0.3145685546363657,66.37396502827316
ecuador,172,0.5189322112989792,89.25634034342441
mariafernandarivadeneira,136,0.7537718023763802,102.51296512318771
entrevista,77,1.3226212662587484,101.84183750192364
manabi,57,1.623375420277882,92.53239895583928
participacion,56,1.641074997377283,91.90019985312784
ciudadano,55,1.6590935028799614,91.25014265839788
casillero2,51,1.7346010553881064,88.46465382479343
mujer,50,1.7544036826842861,87.7201841342143
social,49,1.7746063900018056,86.95571311008848
yoseretuvoz,47,1.8162790864023735,85.36511706091156
ciudadania,45,1.8597641983421125,83.68938892539506
derechos,42,1.928757069829064,81.00779693282068
control,41,1.9528546214081244,80.0670394777331
mrivadeneirac,39,2.0028650419827856,78.11173663732863
derecho,38,2.0288405283860462,77.09594007866976
conocer,38,2.0288405283860462,77.09594007866976
ecuatoriano,37,2.0555087754682075,76.05382469232367
cada,35,2.1110786266230184,73.88775193180564
marzo,34,2.1400661634962708,72.76224955887321
